metric_id,metric_name,category,formula_definition,primary_source,source_of_truth_rule,qa_case_ids
SUB-MET-001,Subscription Request Volume,Intent,Count distinct journey_id where primary_intent is subscription-related.,Synthflow,Intent source only; not outcome source,TC-SUB-001
SUB-MET-002,Subscription Intent Mix,Intent,Journeys by canonical_intent / subscription request volume.,Synthflow + classifier,Low-confidence/unknown visible,TC-SUB-002
SUB-MET-003,Change Frequency Completion Rate,Non-Cancel,confirmed frequency_change_completed / frequency_change_requested.,Stay.ai + Synthflow,Stay.ai confirms completion,TC-SUB-010
SUB-MET-004,Skip Completion Rate,Non-Cancel,confirmed skip_completed / skip_requested.,Stay.ai + Synthflow,Stay.ai confirms completion,TC-SUB-011
SUB-MET-005,Pause Completion Rate,Non-Cancel,confirmed pause_completed / pause_requested.,Stay.ai + Synthflow,Stay.ai confirms completion,TC-SUB-012
SUB-MET-006,Subscription Action Failure Rate,Non-Cancel,failed subscription actions / attempted subscription actions.,Stay.ai/handoff,Failed states excluded from success,TC-SUB-013
SUB-MET-007,Cancel Request Volume,Cancellation,Count distinct cancellation journeys.,Synthflow,"Request only, not confirmed cancellation",TC-SUB-020
SUB-MET-008,Cancel Reason Mix,Cancellation,Cancellation journeys by canonical_cancel_reason / cancel request volume.,Stay.ai preferred; Synthflow fallback,Official reason preferred when available,TC-SUB-021
SUB-MET-009,Cost Too High Entry Volume,Retention,Cost Too High journeys where retention_funnel_started.,Synthflow + reason mapping,Reason source shown with trust label,TC-SUB-030
SUB-MET-010,Frequency Offer Acceptance Rate,Retention,frequency_offer_accepted / frequency_offer_presented.,Synthflow,Acceptance is not save,TC-SUB-031
SUB-MET-011,25% Discount Offer Acceptance Rate,Retention,discount_offer_accepted / discount_offer_presented.,Synthflow,Acceptance is not save,TC-SUB-032
SUB-MET-012,Confirmed Retained Outcomes,Retention,Count journeys with confirmed retained subscription outcome.,Stay.ai,Required for save,TC-SUB-033
SUB-MET-013,Confirmed Cancellation Outcomes,Cancellation,Count journeys with confirmed cancelled subscription outcome.,Stay.ai,Required for loss/cancellation,TC-SUB-034
SUB-MET-014,Save Rate,Retention,confirmed retained outcomes / eligible cancellation-retention journeys.,Stay.ai,No confirmation means no save,TC-SUB-035
SUB-MET-015,Loss Rate,Cancellation,confirmed cancellation outcomes / eligible cancellation journeys.,Stay.ai,Pending/unconfirmed not counted,TC-SUB-036
SUB-MET-016,Portal Link Sent Volume,Handoff,Count handoff_link_sent events.,Synthflow/handoff,Link sent is not completion,TC-SUB-040
SUB-MET-017,Portal Completion Rate,Handoff,handoff_completed / handoff_started or selected denominator.,Portal/Stay.ai,Portal success requires confirmed completion,TC-SUB-041
SUB-MET-018,Handoff Abandonment Rate,Handoff,handoff_abandoned / handoff_started.,Portal/handoff,Abandoned excluded from containment,TC-SUB-042
SUB-MET-019,Unresolved Subscription Call Rate,Containment,unresolved subscription journeys / subscription request volume.,Synthflow + outcomes,Unresolved excluded from success,TC-SUB-050
SUB-MET-020,Escalated Subscription Call Rate,Containment,escalated journeys / subscription request volume.,Synthflow/RingCX,Escalation is not automation containment,TC-SUB-051
SUB-MET-021,True Subscription Containment Rate,Containment,"successful_containment_confirmed / eligible journeys excluding abandoned, drop-off, unresolved, failed, escalation-only, link-sent-only.",Derived from Synthflow + Stay.ai + handoff,Exclusion-first containment,TC-SUB-052
SUB-MET-022,Stay.ai Confirmation Coverage,Trust,actions with official Stay.ai confirmation / actions requiring confirmation.,Stay.ai,Coverage visible on outcome metrics,TC-SUB-060
SUB-MET-023,Subscription Data Freshness,Trust,latest source timestamp compared to SLA.,Stay.ai/Synthflow/portal,Fresh/stale/missing labels system-calculated,TC-SUB-061
SUB-MET-024,Export Audit Coverage,Export,exports with audit reference / total exports.,Export service + audit log,Exports require audit reference,TC-SUB-070
