metric_id_name,source_pack_reference,required_page_subpage,formula,source_of_truth,current_status,backend_endpoint_contract_location,ui_location,data_dependency,priority,recommended_cycle
net_business_value_impact,wave10 governance + metric catalog mapping,Executive Overview > Revenue/Churn/Business Value,gross_value_protected - offer_cost + support_cost_avoided,warehouse_analytics_with_stayai_confirmation,partial,GET /subscriptions/business-value fixture stub,missing,stayai_final_state|offer_cost_ledger|support_cost_model,P0,"Cycle 007 stub; Cycle 008 production"
gross_value_protected,wave10 governance + metric catalog mapping,Revenue/Churn/Business Value,sum(expected_revenue_saved_before_costs),warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,ltv_projection_and_retention_model,P0,Cycle 008
net_retained_recovered_value,wave10 governance + metric catalog mapping,Revenue/Churn/Business Value,confirmed_saved + estimated_saved - leakage - offer_cost,warehouse_analytics_plus_stayai,partial,GET /subscriptions/business-value fixture stub,missing,post_save_churn_window|offer_costs,P0,Cycle 008
confirmed_business_value_impact,wave10 governance + metric catalog mapping,Executive Overview,confirmed_saved_revenue - confirmed_offer_cost + confirmed_support_cost_avoided,stayai_plus_finance_join,partial,GET /subscriptions/business-value fixture stub,missing,stayai_confirmed_outcomes|finance_postings,P0,Cycle 008
estimated_business_value_impact,wave10 governance + metric catalog mapping,Executive Overview,estimated_saved - estimated_cost + estimated_support_avoided,warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,pending_confirmations|ltv_model,P0,Cycle 008
revenue_saved_estimate,wave10 revenue formula mapping,Revenue/Churn/Business Value,sum(estimated_retained_revenue),warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,retention_model_weights,P0,Cycle 008
gross_saved_value,wave10 revenue formula mapping,Revenue/Churn/Business Value,confirmed_saved_revenue + estimated_saved_revenue,warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,confirmed_plus_estimated_cohorts,P0,Cycle 008
confirmed_saved_revenue,wave10 revenue formula mapping,Revenue/Churn/Business Value,sum(saved_revenue where stayai confirmed),stayai_plus_billing,partial,GET /subscriptions/business-value fixture stub,missing,stayai_final_state|billing_linkage,P0,Cycle 008
net_saved_revenue,wave10 revenue formula mapping,Revenue/Churn/Business Value,gross_saved_value - total_offer_cost,warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,offer_cost_join_completeness,P0,Cycle 008
offer_cost,wave18 cancellation blueprint mapping,Cancellation/Retention/Save > Offer analytics,discount_cost + free_shipping_cost + incentive_cost,offer_redemption_ledger,partial,GET /subscriptions/business-value fixture stub,missing,offer_type|offer_version|redemption_events,P0,Cycle 008
discount_cost,wave18 cancellation blueprint mapping,Cancellation/Retention/Save > Offer analytics,sum(discount value applied),offer_redemption_ledger,partial,GET /subscriptions/business-value fixture stub,missing,discount_redemption_records,P0,Cycle 008
free_shipping_cost,wave18 cancellation blueprint mapping,Cancellation/Retention/Save > Offer analytics,sum(shipping subsidy),shopify_shipping_ledger,partial,GET /subscriptions/business-value fixture stub,missing,shipping_override_and_subsidy_events,P0,Cycle 008
revenue_at_risk,wave10 revenue/churn mapping,Executive Overview > Risk panel,sum(predicted_revenue for high churn risk),warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,churn_risk_scores|subscription_mrr,P0,Cycle 008
support_cost_avoided,wave10 business value mapping,Executive Overview,contained_calls * cost_per_contained_call,warehouse_analytics_plus_finance_model,partial,GET /subscriptions/business-value fixture stub,missing,contained_call_classification_quality,P0,Cycle 008
cost_per_contained_call,wave10 business value mapping,Executive Overview,support_cost_avoided / contained_call_count,finance_ops_model,partial,GET /subscriptions/business-value fixture stub,missing,agent_cost_baseline_version,P0,Cycle 008
net_value_per_contained_call,wave10 business value mapping,Executive Overview,(net_saved_revenue + support_cost_avoided) / contained_call_count,warehouse_analytics,partial,GET /subscriptions/business-value fixture stub,missing,net_saved_and_contained_call_join,P0,Cycle 008
