metric_id,metric_key,display_name,module,metric_category,formula_definition,primary_source,source_of_truth_rule,trust_rule,formula_version,owner,qa_case_ids,is_p0,dashboard_visible
SUB-MET-001,subscription_request_volume,Subscription Request Volume,subscriptions,Intent,Count distinct journey_id where primary_intent is subscription-related.,Synthflow,Intent source only; not outcome source,Intent source only; not outcome source,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-001,True,True
SUB-MET-002,subscription_intent_mix,Subscription Intent Mix,subscriptions,Intent,Journeys by canonical_intent / subscription request volume.,Synthflow + classifier,Low-confidence/unknown visible,Low-confidence/unknown visible,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-002,False,True
SUB-MET-003,change_frequency_completion_rate,Change Frequency Completion Rate,subscriptions,Non-Cancel,confirmed frequency_change_completed / frequency_change_requested.,Stay.ai + Synthflow,Stay.ai confirms completion,Stay.ai confirms completion,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-010,True,True
SUB-MET-004,skip_completion_rate,Skip Completion Rate,subscriptions,Non-Cancel,confirmed skip_completed / skip_requested.,Stay.ai + Synthflow,Stay.ai confirms completion,Stay.ai confirms completion,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-011,True,True
SUB-MET-005,pause_completion_rate,Pause Completion Rate,subscriptions,Non-Cancel,confirmed pause_completed / pause_requested.,Stay.ai + Synthflow,Stay.ai confirms completion,Stay.ai confirms completion,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-012,True,True
SUB-MET-006,subscription_action_failure_rate,Subscription Action Failure Rate,subscriptions,Non-Cancel,failed subscription actions / attempted subscription actions.,Stay.ai/handoff,Failed states excluded from success,Failed states excluded from success,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-013,True,True
SUB-MET-007,cancel_request_volume,Cancel Request Volume,cancellations,Cancellation,Count distinct cancellation journeys.,Synthflow,"Request only, not confirmed cancellation","Request only, not confirmed cancellation",sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-020,True,True
SUB-MET-008,cancel_reason_mix,Cancel Reason Mix,cancellations,Cancellation,Cancellation journeys by canonical_cancel_reason / cancel request volume.,Stay.ai preferred; Synthflow fallback,Official reason preferred when available,Official reason preferred when available,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-021,False,True
SUB-MET-009,cost_too_high_entry_volume,Cost Too High Entry Volume,retention,Retention,Cost Too High journeys where retention_funnel_started.,Synthflow + reason mapping,Reason source shown with trust label,Reason source shown with trust label,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-030,True,True
SUB-MET-010,frequency_offer_acceptance_rate,Frequency Offer Acceptance Rate,retention,Retention,frequency_offer_accepted / frequency_offer_presented.,Synthflow,Acceptance is not save,Acceptance is not save,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-031,True,True
SUB-MET-011,discount_offer_acceptance_rate,25% Discount Offer Acceptance Rate,retention,Retention,discount_offer_accepted / discount_offer_presented.,Synthflow,Acceptance is not save,Acceptance is not save,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-032,True,True
SUB-MET-012,confirmed_retained_outcomes,Confirmed Retained Outcomes,retention,Retention,Count journeys with confirmed retained subscription outcome.,Stay.ai,Required for save,Required for save,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-033,True,True
SUB-MET-013,confirmed_cancellation_outcomes,Confirmed Cancellation Outcomes,cancellations,Cancellation,Count journeys with confirmed cancelled subscription outcome.,Stay.ai,Required for loss/cancellation,Required for loss/cancellation,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-034,True,True
SUB-MET-014,subscription_save_rate,Save Rate,retention,Retention,confirmed retained outcomes / eligible cancellation-retention journeys.,Stay.ai,No confirmation means no save,No confirmation means no save,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-035,True,True
SUB-MET-015,confirmed_cancellation_rate,Loss Rate,cancellations,Cancellation,confirmed cancellation outcomes / eligible cancellation journeys.,Stay.ai,Pending/unconfirmed not counted,Pending/unconfirmed not counted,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-036,True,True
SUB-MET-016,portal_link_sent_volume,Portal Link Sent Volume,subscriptions,Handoff,Count handoff_link_sent events.,Synthflow/handoff,Link sent is not completion,Link sent is not completion,sub_formula_v0.2_wave05_data_lock,analytics,TC-SUB-040,False,True
