id,screenshot,page,category,severity,confidence_pct,issue_summary,support_user_impact,recommended_fix,owner,target_cycle
S1.01,"02-subscription-analytics-page-polished.png; 03-subscription-pending-stayai.png; 04-subscription-missing-stayai.png",/subscriptions,layout-organization,P0,99.5,"One massive /subscriptions page still rendered: subnav + page header + Cycle 005 ink hero + Cycle 005 OutcomesView + SourceHealthView + Cycle 002 AnalyticsView + Cycle 001 ModuleShell stacked vertically","Page reads as 6+ subscription dashboards stacked; same metrics restated under different headings; >2 viewports tall on 1440px","Migrate panels into IA v2 subpages; unmount everything not on Command Center; legacy panels move to /subscriptions/diagnostics or are retired",Agent B,008
S1.02,02-subscription-analytics-page-polished.png,/subscriptions,terminology-jargon,P0,99.5,"Footer line 'Legacy sections kept mounted for regression coverage' visible with History+GitBranch icons","CS agent sees engineering vocabulary and assumes dashboard is broken or unfinished","Delete the line; replace with 'Open diagnostic / advanced view' Diagnostics drawer entry-point",Agent B,008
S1.03,02-subscription-analytics-page-polished.png,/subscriptions,visual-hierarchy,P0,99.5,"Two heroes on the same subpage: Cycle 007 SubscriptionPageHeader and Cycle 005 surface-ink hero band immediately below","Eye does not know which is the page title; two competing page promises","Remove Cycle 005 surface-ink band from Command Center; subscription page header is the only hero",Agent B,008
S1.04,"02-subscription-analytics-page-polished.png; 03-subscription-pending-stayai.png; 04-subscription-missing-stayai.png",/subscriptions,non-technical-comprehension,P0,99.0,"Two scenario chip rows expose demo-state toggles to end users (4 in OutcomesView; 2 in AnalyticsView)","Non-technical agent thinks scenarios are real filters that change live data; option sets disagree","Hide scenario toggles in production UI; keep RBAC-gated dev-only Diagnostics drawer for QA",Agent B,008
S1.05,02-subscription-analytics-page-polished.png,/subscriptions,terminology-jargon,P0,99.5,"Section titles 'Cycle 002 contract-wired view' and 'Cycle 001 dashboard module shell' shown in production UI","Customer-facing dashboard reads like an internal release note","Retire labels; if panels remain in Cycle 008 they move to Diagnostics with neutral copy. Cycle 00N / Wave 00N banned",Agent B,008
S1.06,"02-subscription-analytics-page-polished.png; 03-subscription-pending-stayai.png; 04-subscription-missing-stayai.png",/subscriptions,terminology-jargon,P0,99.5,"analytics-api / contract / fixture / shape mismatch / shared-contract preview shown as user-facing strings","Engineering vocabulary leaks; users cannot act on 'shape mismatch'","Replace with single 'system status' chip with three friendly states (live / fallback-no-permission / fallback-api-down)",Agent B,008
S1.07,all,global,advanced-filters,P0,99.5,"No global advanced filter drawer; topbar exposes only Date/Platform/Segment chips","Support lead cannot answer key workflows ('which calls were Cost Too High that we saved'); forces export-to-Excel","Ship Advanced filter drawer per IA wireframe spec §3 with backend-gap-aware disabled states",Agent B,008
S1.08,all,global,exports,P0,99.5,"No real export UX; only disabled prototype 'Export this view · planned' button on Cycle 007 page header","'What can I export for my manager?' workflow does not exist","Ship Export drawer per IA wireframe spec §4: page-header export, per-widget kebab, per-row export, /subscriptions/export-audit",Agent B,008
S1.09,02-subscription-analytics-page-polished.png,/subscriptions,actionability,P0,99.5,"Subnav advertises 'Follow-Up · 3' attention badge but tab is disabled (status:planned)","Dashboard advertises 3 calls need a human and offers no way to act on it","Ship /subscriptions/follow-up with read-only operator table; until then remove the attention badge",Agent B,008
S1.10,all,global,advanced-filters,P0,99.0,"No active filter chip strip, no saved views, no comparison period control","User cannot see what they filtered to; cannot compare today vs last week","Ship chip strip / saved views drawer / comparison-period control per IA spec §3 §3.3 §3.4",Agent B,008
S1.11,all,global,terminology-jargon,P1,98.5,"Top-level page titles flat / engineering-flavoured ('Cross-platform support intelligence', 'RBAC, exports, and audit controls')","'RBAC' / 'contracts' / 'intelligence' are jargon; do not answer 'what am I looking at'","Retitle pages to questions per plain-language copy guide",Agent B,008
S1.12,all,global,terminology-jargon,P2,98.5,"Sidebar footer shows 'v0.9 · cycle 006' and 'no-drift' pill","'cycle 006' and 'no-drift' are internal vocabulary","Remove cycle text; replace 'no-drift' with 'Source-of-truth lock' + tooltip; version moves to hover-only",Agent B,008
S1.13,all,global,terminology-jargon,P2,98.5,"Topbar 'No-drift enforced' pill","'No-drift' is internal data-engineering term; reads like a railway notice","Replace with 'Trusted definitions on' + tooltip explaining the rulebook",Agent B,008
S1.14,all,global,visual-hierarchy,P2,98.5,"Eyebrow + section-header repetition fatigue; 5+ eyebrows visible above the fold on /subscriptions","Page reads as 'important things shouting at me' with no clear hierarchy","Cap visible eyebrows above the fold per subpage at 2; treat eyebrow as honour not default",Agent B,008
S1.15,02-subscription-analytics-page-polished.png,/subscriptions,visual-hierarchy,P2,98.5,"Color usage busy: violet/indigo/emerald/rose/amber/sky/cyan/slate co-rendered","User cannot tell what colour means; rose = bad? rose = cancellation (normal)?","Adopt single semantic palette: emerald healthy, amber pending, rose blocked-only; outcome categories use neutral slate cards",Agent B,008
